,Country,TradeValue,Year,Month,TransactionType
160,China,5907801405,2019,06,Import
161,China,1180344863,2019,06,Export
162,China,6187021476,2019,07,Import
163,China,1418245521,2019,07,Export
164,China,1510949489,2019,08,Export
165,China,6372964802,2019,08,Import
166,China,6441890929,2019,09,Import
167,China,1394189792,2019,09,Export
168,China,5505303984,2019,10,Import
169,China,1479389333,2019,10,Export
170,China,5128382969,2019,11,Import
171,China,1622450311,2019,11,Export
172,China,5011418508,2019,12,Import
173,China,1465345764,2019,12,Export
174,China,6021942976,2020,01,Import
175,China,1505326716,2020,01,Export
176,China,1118633463,2020,02,Export
177,China,4443011881,2020,02,Import
178,China,2881302699,2020,03,Import
179,China,1065715372,2020,03,Export
180,China,1136026599,2020,04,Export
181,China,3032549349,2020,04,Import
182,China,2301563804,2020,05,Export
183,China,4665318199,2020,05,Import
184,China,2099744952,2020,06,Export
185,China,3324387992,2020,06,Import
186,China,5580463483,2020,07,Import
187,China,1742161576,2020,07,Export
188,China,4984604725,2020,08,Import
189,China,1679026558,2020,08,Export
190,China,1646321366,2020,09,Export
191,China,5786037241,2020,09,Import
192,China,1486824160,2020,10,Export
193,China,6150281618,2020,10,Import
194,China,1515216652,2020,11,Export
195,China,5288851826,2020,11,Import
196,China,1621801390,2020,12,Export
197,China,6538422779,2020,12,Import
198,China,1558286561,2021,01,Export
199,China,6683258365,2021,01,Import
200,Colombia,51825934,2019,01,Import
201,Colombia,82001864,2019,01,Export
202,Colombia,49218875,2019,02,Import
203,Colombia,85041187,2019,02,Export
204,Colombia,65133012,2019,03,Import
205,Colombia,101680429,2019,03,Export
206,Colombia,44407567,2019,04,Import
207,Colombia,74240068,2019,04,Export
208,Colombia,56909997,2019,05,Import
209,Colombia,84667650,2019,05,Export
210,Colombia,54354548,2019,06,Import
211,Colombia,81829640,2019,06,Export
212,Colombia,48864483,2019,07,Import
213,Colombia,95948908,2019,07,Export
214,Colombia,84849269,2019,08,Export
215,Colombia,37646251,2019,08,Import
216,Colombia,111230078,2019,09,Import
217,Colombia,86357768,2019,09,Export
218,Colombia,60485928,2019,10,Import
219,Colombia,82728127,2019,10,Export
220,Colombia,67162833,2019,11,Import
221,Colombia,85026911,2019,11,Export
222,Colombia,71556435,2019,12,Import
223,Colombia,93014125,2019,12,Export
224,Colombia,68423820,2020,01,Import
225,Colombia,90927720,2020,01,Export
226,Colombia,102108988,2020,02,Export
227,Colombia,105660880,2020,02,Import
228,Colombia,81783746,2020,03,Export
229,Colombia,83083852,2020,03,Import
230,Colombia,22079455,2020,04,Export
231,Colombia,101788650,2020,04,Import
232,Colombia,98120587,2020,05,Import
233,Colombia,36889035,2020,05,Export
234,Colombia,48698703,2020,06,Export
235,Colombia,76180419,2020,06,Import
236,Colombia,156390447,2020,07,Import
237,Colombia,54639402,2020,07,Export
238,Colombia,60297679,2020,08,Import
239,Colombia,54740081,2020,08,Export
240,Colombia,77716870,2020,09,Export
241,Colombia,38532817,2020,09,Import
242,Colombia,87181797,2020,10,Export
243,Colombia,106703695,2020,10,Import
244,Colombia,84007653,2020,11,Export
